OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,SHAPEAREA,SHAPELEN
22278,432374,1480,Sidewalk,1999-03-31T00:00:00.000Z,196.852776,224.067013336825
22279,419826,1480,Sidewalk,2005-04-04T00:00:00.000Z,21.8387845,24.5980680652316
22280,417333,1480,Sidewalk,1999-03-31T00:00:00.000Z,362.1816495,156.772633224459
22281,425855,1480,Sidewalk,1999-03-31T00:00:00.000Z,500.9606655,435.479576823903
22282,431438,1480,Sidewalk,2005-04-04T00:00:00.000Z,16.7551875,22.8433343352502
22283,424369,1480,Sidewalk,1999-03-31T00:00:00.000Z,70.421728,74.8348398611407
22284,426564,1480,Sidewalk,1999-03-31T00:00:00.000Z,411.06841,441.310451941936
22285,426563,1480,Sidewalk,1999-03-31T00:00:00.000Z,296.635309,312.997070124628
22286,417246,1480,Sidewalk,2005-04-04T00:00:00.000Z,3887.860615,1963.48725966361
22287,417204,1480,Sidewalk,1999-03-31T00:00:00.000Z,405.9292885,230.716404000303
22288,431234,1480,Sidewalk,1999-03-31T00:00:00.000Z,161.8914695,186.208928156397
22289,417203,1480,Sidewalk,1999-03-31T00:00:00.000Z,5.196475,9.12085311187736
22290,432552,1480,Sidewalk,1999-03-31T00:00:00.000Z,244.785904,154.050401610807
22291,431233,1480,Sidewalk,1999-03-31T00:00:00.000Z,512.2150585,446.53444059147
22292,430498,1480,Sidewalk,1999-03-31T00:00:00.000Z,342.187078,390.107274570457
22293,419303,1480,Sidewalk,1999-03-31T00:00:00.000Z,1513.7568265,262.774559284186
22294,426193,1480,Sidewalk,1999-03-31T00:00:00.000Z,29.1963225,32.4801944185582
22295,427411,1480,Sidewalk,2008-05-30T00:00:00.000Z,65.5504565,54.815257590004
22311,425988,1480,Sidewalk,1999-03-31T00:00:00.000Z,104.7134275,123.824091139557
22312,426741,1480,Sidewalk,1999-03-31T00:00:00.000Z,5357.6714115,2608.96640412587
22313,426131,1480,Sidewalk,1999-03-31T00:00:00.000Z,4.95486,8.90997625621663
22314,424674,1480,Sidewalk,1999-03-31T00:00:00.000Z,203.9366345,224.951700600198
22315,417668,1480,Sidewalk,1999-03-31T00:00:00.000Z,97.8346475,178.101997753516
22316,417667,1480,Sidewalk,1999-03-31T00:00:00.000Z,423.75865,311.405957382839
22317,425826,1480,Sidewalk,1999-03-31T00:00:00.000Z,962.7720185,432.436783722622
22383,431264,1480,Sidewalk,1999-03-31T00:00:00.000Z,211.554221,238.038027972343
22384,416536,1480,Sidewalk,1999-03-31T00:00:00.000Z,2860.784209,1354.32199847236
22385,431360,1480,Sidewalk,1999-03-31T00:00:00.000Z,333.3172885,360.24105236423
22386,431263,1480,Sidewalk,1999-03-31T00:00:00.000Z,214.550984,232.314178165946
22387,425844,1480,Sidewalk,1999-03-31T00:00:00.000Z,239.8001965,287.363127787598
22388,431262,1480,Sidewalk,1999-03-31T00:00:00.000Z,216.204064,234.754766763243
22389,425843,1480,Sidewalk,2005-04-04T00:00:00.000Z,78.689858,81.7883947369979
22390,424680,1480,Sidewalk,1999-03-31T00:00:00.000Z,284.30518,309.156648379954
22391,417624,1480,Sidewalk,2005-04-04T00:00:00.000Z,48.6994,62.3840949188394
22392,415723,1480,Sidewalk,1999-03-31T00:00:00.000Z,1826.620931,958.239386642375
22318,418276,1480,Sidewalk,1999-03-31T00:00:00.000Z,263.975395,152.565784514952
22319,414626,1480,Sidewalk,1999-03-31T00:00:00.000Z,114.51203,69.5991616205618
22320,431050,1480,Sidewalk,1999-03-31T00:00:00.000Z,14.7456755,20.0942438826272
22321,426006,1480,Sidewalk,1999-03-31T00:00:00.000Z,200.769758,119.120959035358
22322,434024,1480,Sidewalk,1999-03-31T00:00:00.000Z,2174.3628815,1748.23747307498
22323,419318,1480,Sidewalk,2005-04-04T00:00:00.000Z,5.35985,11.1011748138518
22324,419317,1480,Sidewalk,2005-04-04T00:00:00.000Z,4.617775,10.3032146562325
22325,414625,1480,Sidewalk,2005-04-04T00:00:00.000Z,6.490296,11.52988161037
22326,414624,1480,Sidewalk,2005-04-04T00:00:00.000Z,13.22033,20.1616666860888
22327,425449,1480,Sidewalk,1999-03-31T00:00:00.000Z,88.049034,103.357551556546
22328,426902,1480,Sidewalk,2005-04-04T00:00:00.000Z,13.885444,18.2399418790273
22329,431580,1480,Sidewalk,2008-05-30T00:00:00.000Z,25.6103615,42.9243301061354
22330,426239,1480,Sidewalk,1999-03-31T00:00:00.000Z,25.3855175,32.1589848903562
22331,426240,1480,Sidewalk,1999-03-31T00:00:00.000Z,4.7062945,8.70621612140347
22332,414978,1480,Sidewalk,2005-04-04T00:00:00.000Z,18.92135,31.7636476132673
22333,419092,1480,Sidewalk,1999-03-31T00:00:00.000Z,163.9925165,54.4416383585895
22334,414977,1480,Sidewalk,2005-04-04T00:00:00.000Z,21.63766,32.8945739780307
22335,414742,1480,Sidewalk,1999-03-31T00:00:00.000Z,68.175,37.2723078305864
22336,419316,1480,Sidewalk,1999-03-31T00:00:00.000Z,86.62519,59.8697526878391
22337,431048,1480,Sidewalk,1999-03-31T00:00:00.000Z,27.689063,33.7740238335241
22338,414838,1480,Sidewalk,2008-05-30T00:00:00.000Z,75.273645,45.4714491286793
22339,426903,1480,Sidewalk,1999-03-31T00:00:00.000Z,72.446682,59.114587900313
22340,426904,1480,Sidewalk,1999-03-31T00:00:00.000Z,294.7121645,322.548682012718
22341,414741,1480,Sidewalk,1999-03-31T00:00:00.000Z,23.592635,18.7568556675814
22342,426905,1480,Sidewalk,1999-03-31T00:00:00.000Z,2.6561875,6.67870624164201
22343,424583,1480,Sidewalk,1999-03-31T00:00:00.000Z,133.0425715,143.834717588114
22344,426906,1480,Sidewalk,2005-04-04T00:00:00.000Z,13.8018355,17.9654064561556
22345,424584,1480,Sidewalk,1999-03-31T00:00:00.000Z,72.071564,80.3903789567206
22346,431964,1480,Sidewalk,1999-03-31T00:00:00.000Z,256.7398385,124.791994018467
22347,428225,1480,Sidewalk,1999-03-31T00:00:00.000Z,259.001199,298.058178262717
22348,428224,1480,Sidewalk,1999-03-31T00:00:00.000Z,199.8599585,297.824573500875
22349,414740,1480,Sidewalk,1999-03-31T00:00:00.000Z,138.615825,198.78940865868
22350,428223,1480,Sidewalk,1999-03-31T00:00:00.000Z,54.277756,60.7252886036535
22351,416540,1480,Sidewalk,2005-04-04T00:00:00.000Z,9027.840344,3271.11617031824
22352,424325,1480,Sidewalk,1999-03-31T00:00:00.000Z,257.5080845,265.348690649842
22353,425997,1480,Sidewalk,1999-03-31T00:00:00.000Z,70.865365,112.235357887545
22354,425942,1480,Sidewalk,1999-03-31T00:00:00.000Z,101.182021,102.305440195361
22355,430494,1480,Sidewalk,1999-03-31T00:00:00.000Z,286.273627,301.734269333892
22356,417627,1480,Sidewalk,2005-04-04T00:00:00.000Z,11.68657,21.8641465990265
22357,424328,1480,Sidewalk,1999-03-31T00:00:00.000Z,285.284609,298.846139757832
22358,431878,1480,Sidewalk,1999-03-31T00:00:00.000Z,27.6459765,33.3297065659577
22359,433774,1480,Sidewalk,1999-03-31T00:00:00.000Z,2730.40903,2207.95755668613
22360,416539,1480,Sidewalk,1999-03-31T00:00:00.000Z,1558.225001,306.25513207403
22361,425998,1480,Sidewalk,2005-04-04T00:00:00.000Z,351.293476,365.987144188262
22362,430971,1480,Sidewalk,2005-04-04T00:00:00.000Z,667.467242,402.910901870168
22363,417626,1480,Sidewalk,2005-04-04T00:00:00.000Z,243.0545105,246.572781737826
22364,429438,1480,Sidewalk,1999-03-31T00:00:00.000Z,234.130183,272.223444782793
22365,419091,1480,Sidewalk,2005-04-04T00:00:00.000Z,3134.326184,1091.17844268503
22366,414976,1480,Sidewalk,1999-03-31T00:00:00.000Z,7409.02735,2039.07452456074
22367,419039,1480,Sidewalk,1999-03-31T00:00:00.000Z,336.3574145,256.410293668087
22368,414975,1480,Sidewalk,1999-03-31T00:00:00.000Z,704.707874,471.02976381145
22369,419090,1480,Sidewalk,1999-03-31T00:00:00.000Z,252.550745,104.250579004519
22370,414973,1480,Sidewalk,1999-03-31T00:00:00.000Z,111.849867,56.5864853046274
22371,414974,1480,Sidewalk,1999-03-31T00:00:00.000Z,214.451535,160.345977636952
22372,419038,1480,Sidewalk,1999-03-31T00:00:00.000Z,477.64015,348.264493542312
22373,414972,1480,Sidewalk,1999-03-31T00:00:00.000Z,663.6267805,407.423233195778
22374,414971,1480,Sidewalk,1999-03-31T00:00:00.000Z,314.557525,204.808489124272
22375,414970,1480,Sidewalk,1999-03-31T00:00:00.000Z,767.106651,596.052878850864
22376,414969,1480,Sidewalk,1999-03-31T00:00:00.000Z,466.72761,288.15669389356
22377,419089,1480,Sidewalk,1999-03-31T00:00:00.000Z,200.182114,139.809798482302
22378,416537,1480,Sidewalk,1999-03-31T00:00:00.000Z,348.61955,243.241207234931
22379,416538,1480,Sidewalk,1999-03-31T00:00:00.000Z,326.2729,236.391246367306
22380,417625,1480,Sidewalk,1999-03-31T00:00:00.000Z,69.1303595,49.5138746459529
22381,425845,1480,Sidewalk,1999-03-31T00:00:00.000Z,219.772359,236.500308664817
